linux_symbol	kind	linux_source	rust_symbol	rust_path	rust_visibility	rust_parity	status	notes
__msan_memset	export	vendor/linux/mm/kmsan/instrumentation.c	__msan_memset	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__msan_metadata_ptr_for_load_n	export	vendor/linux/mm/kmsan/instrumentation.c	__msan_metadata_ptr_for_load_n	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__msan_metadata_ptr_for_store_n	export	vendor/linux/mm/kmsan/instrumentation.c	__msan_metadata_ptr_for_store_n	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__msan_poison_alloca	export	vendor/linux/mm/kmsan/instrumentation.c	__msan_poison_alloca	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__msan_unpoison_alloca	export	vendor/linux/mm/kmsan/instrumentation.c	__msan_unpoison_alloca	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__msan_warning	export	vendor/linux/mm/kmsan/instrumentation.c	__msan_warning	src/mm/sanitizers.rs	pub	complete	complete	exact name exists in a complete parity file
__node_distance	export	vendor/linux/mm/numa_memblks.c	__node_distance	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__nr_to_section	inline	vendor/linux/include/linux/mmzone.h	__nr_to_section	src/mm/zone.rs	pub	complete	complete	exact name exists in a complete parity file
__p4d_alloc	prototype	vendor/linux/include/linux/mm.h	__p4d_alloc	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__page_cache_alloc	inline	vendor/linux/include/linux/pagemap.h	__page_cache_alloc	src/mm/filemap.rs	pub	complete	complete	exact name exists in a complete parity file
__page_frag_alloc_align	export	vendor/linux/mm/page_frag_cache.c	__page_frag_alloc_align	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__page_frag_cache_drain	export	vendor/linux/mm/page_frag_cache.c	__page_frag_cache_drain	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__page_ref_freeze	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h	__page_ref_freeze	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
__page_ref_mod	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h	__page_ref_mod	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
__page_ref_mod_and_return	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h	__page_ref_mod_and_return	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
__page_ref_mod_and_test	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h	__page_ref_mod_and_test	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
__page_ref_mod_unless	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h	__page_ref_mod_unless	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
__page_ref_set	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h	__page_ref_set	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
__page_ref_unfreeze	export	vendor/linux/mm/debug_page_ref.c;vendor/linux/include/linux/page_ref.h	__page_ref_unfreeze	src/mm/page_flags.rs	pub	complete	complete	exact name exists in a complete parity file
__page_table_check_pmd_clear	export	vendor/linux/mm/page_table_check.c	__page_table_check_pmd_clear	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__page_table_check_pmds_set	export	vendor/linux/mm/page_table_check.c	__page_table_check_pmds_set	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__page_table_check_pte_clear	export	vendor/linux/mm/page_table_check.c	__page_table_check_pte_clear	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__page_table_check_ptes_set	export	vendor/linux/mm/page_table_check.c	__page_table_check_ptes_set	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__page_table_check_pud_clear	export	vendor/linux/mm/page_table_check.c	__page_table_check_pud_clear	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__page_table_check_puds_set	export	vendor/linux/mm/page_table_check.c	__page_table_check_puds_set	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__pagetable_ctor	inline	vendor/linux/include/linux/mm.h	__pagetable_ctor	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__pagetable_free	inline	vendor/linux/include/linux/mm.h	__pagetable_free	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__per_cpu_offset	export	vendor/linux/mm/percpu.c	__per_cpu_offset	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__pfn_to_section	inline	vendor/linux/include/linux/mmzone.h	__pfn_to_section	src/mm/zone.rs	pub	complete	complete	exact name exists in a complete parity file
__pmd_alloc	prototype	vendor/linux/include/linux/mm.h	__pmd_alloc	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
__pmd_trans_huge_lock	prototype	vendor/linux/include/linux/huge_mm.h	__pmd_trans_huge_lock	src/mm/huge.rs	pub	complete	complete	exact name exists in a complete parity file
__pte_alloc	prototype	vendor/linux/include/linux/mm.h	__pte_alloc	src/mm/mm_public.rs	pub	complete	complete	exact name exists in a complete parity file
